QNAME,QDATU,HOUR,FLOW,FLOOR,LINES_PICKED,ITEMS_PICKED,RATIO,EFFORT,PRODUCTIVITY
VYSOCV2,2026-02-25,19,A-flow,ground_floor,9,54,6.0,0.25,36.0
VYSOCV2,2026-02-25,19,B-flow,ground_floor,1,50,50.0,0.25,4.0
VYSOCV2,2026-02-25,20,B-flow,ground_floor,39,881,22.59,1.0,39.0
WASILJ3,2026-02-25,15,A-flow,ground_floor,8,52,6.5,0.5,16.0
WASILJ3,2026-02-25,15,B-flow,ground_floor,24,238,9.92,0.5,48.0
WASILJ3,2026-02-25,16,A-flow,ground_floor,27,153,5.67,1.0,27.0
WASILJ3,2026-02-25,17,A-flow,ground_floor,6,6,1.0,0.75,8.0
WASILJ3,2026-02-25,18,B-flow,ground_floor,41,284,6.93,1.0,41.0
WASILJ3,2026-02-25,22,B-flow,ground_floor,52,583,11.21,1.0,52.0
WILLES10,2026-02-25,8,A-flow,ground_floor,2,11,5.5,1.0,2.0
WILLES10,2026-02-25,15,B-flow,ground_floor,2,11,5.5,1.0,2.0
WMIMOUT03,2026-02-25,16,B-flow,ground_floor,1,6,6.0,1.0,1.0
ZANE2,2026-02-25,7,B-flow,ground_floor,32,192,6.0,1.0,32.0
ZANE2,2026-02-25,8,B-flow,ground_floor,76,1226,16.13,1.0,76.0
ZANE2,2026-02-25,9,B-flow,ground_floor,23,376,16.35,1.0,23.0
