QNAME,QDATU,HOUR,FLOW,FLOOR,LINES_PICKED,ITEMS_PICKED,RATIO,EFFORT,PRODUCTIVITY
VILKHA2,2026-02-23,7,B-flow,ground_floor,63,2335,37.06,0.5,126.0
VOROSK2,2026-02-23,7,B-flow,ground_floor,26,710,27.31,0.5,52.0
VOROSK2,2026-02-23,8,B-flow,ground_floor,44,955,21.7,0.75,58.67
VOROSK2,2026-02-23,9,B-flow,ground_floor,34,269,7.91,1.0,34.0
VOROSK2,2026-02-23,10,B-flow,ground_floor,11,105,9.55,1.0,11.0
VOROSK2,2026-02-23,11,B-flow,ground_floor,42,262,6.24,1.0,42.0
VOROSK2,2026-02-23,12,B-flow,ground_floor,43,446,10.37,1.0,43.0
VOROSK2,2026-02-23,13,B-flow,ground_floor,11,33,3.0,1.0,11.0
VYSOCV2,2026-02-23,12,B-flow,ground_floor,31,383,12.35,1.0,31.0
WILLES10,2026-02-23,9,A-flow,ground_floor,1,1,1.0,1.0,1.0
WILLES10,2026-02-23,9,B-flow,ground_floor,1,1,1.0,1.0,1.0
WILLES10,2026-02-23,10,A-flow,ground_floor,3,107,35.67,1.0,3.0
ZANE2,2026-02-23,7,B-flow,ground_floor,59,1295,21.95,0.5,118.0
